#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.82,25,193.142163
0.9712,4,193.151972
0.8848,16,193.191541
0,92,193.963865
0.964,5,193.976581
0,4,193.988241
0.9568,6,194.002501
0.9784,3,194.010371
0,6,194.02536
0,58,194.173712
0,44,194.78246
0,5,194.795699
0,30,194.871931
0.9784,3,194.880353
0,8,194.899977
0.9856,2,194.905474
0.82,25,194.968315
0,3,194.976289
0.9424,8,194.998955
0,4,195.011171
0,8,195.5281
0.9352,9,195.550516
0,2,195.555745
0,2,195.560771
0.8704,18,195.606502
0.928,10,195.630901
0,125,196.565563
0.928,10,196.591355
0.7192,39,196.690054
0.9568,6,196.709327
0.9712,4,196.720211
0,6,196.737133
0,21,197.32397
0.928,10,197.355625
0.9136,12,197.395532
0,125,198.357491
0.6472,49,198.488394
0.8776,17,198.530542
0.8416,22,198.583912
0.9568,6,198.599673
0.9784,3,198.607249
0,14,199.335554
0,13,199.367948
0.9928,1,199.370609
0.9136,12,199.401218
0,10,199.425993
0.9928,1,199.430209
0.604,55,199.566972
0,1,199.570556
0.6688,46,200.374076
0,6,200.392043
0.9856,2,200.397608
0,4,200.408583
0.7912,29,200.487724
0.5464,63,200.788859
0.856,20,201.443629
0,6,201.464066
0.8488,21,201.537274
0,1,201.539944
0.4456,77,201.764378
0.9856,2,201.769295
0,5,201.781045
0,5,201.793221
0,45,202.485569
0,2,202.490444
0,41,202.591707
0.8848,16,202.630844
0.8632,19,202.698885
0.8632,19,203.408527
0,4,203.418244
0.9928,1,203.42107
0.7912,29,203.497257
0,1,203.500022
0,2,203.505286
0,13,203.539363
0.9856,2,203.545474
0.964,5,203.558741
0.9424,8,203.581164
0.9424,8,203.60155
0.928,10,203.629522
0.8344,23,203.687993
0.9928,1,203.690675
0,66,204.553118
0.9712,4,204.564258
0,125,205.522451
0.892,15,205.570196
0,28,205.650733
0.964,5,205.668972
0,1,205.671833
0.9784,3,205.681331
0,1,205.684313
0.9568,6,205.701712
0.928,10,205.730433
0.964,5,206.341968
0,21,206.398443
0,51,206.529925
0.9928,1,206.533005
0,5,206.546
0,40,206.644897
0,1,206.647878
0,9,207.355477
0.8848,16,207.397256
0.9568,6,207.41258
0.8992,14,207.448392
0,4,207.459833
0,10,207.486059
0.8848,16,207.525691
0,2,207.531112
0.9856,2,207.536244
0.964,5,207.548467
0.9496,7,207.566806
0,24,207.626853
0.9496,7,207.645704
0,13,208.335784
0,27,208.423655
0,8,208.448428
0.9856,2,208.453976
0.9928,1,208.46043
0.82,25,208.540532
0.8704,18,208.593204
0.9928,1,208.596297
0.9208,11,208.625411
0,9,208.64917
0,1,208.651936
0.9856,2,208.657049
0.9568,6,208.672649
0,4,208.682844
0,12,209.302118
0,22,209.357841
0,5,209.370606
0.3016,97,209.632809
0,21,210.400422
0.9712,4,210.411317
0,33,210.497513
0.9712,4,210.507932
0,11,210.53448
